GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
42001,050,42,001,23900,564,,,Adams County,101407,40820,91292,35831,101407,91292
42003,050,42,003,38300,430,,,Allegheny County,1223348,589201,1281666,583646,1223348,1281666
42005,050,42,005,38300,430,,,Armstrong County,68941,32520,72392,32387,68941,72392
42009,050,42,009,99999,999,,,Bedford County,49762,23954,49984,23529,49762,49984
42013,050,42,013,11020,999,,,Blair County,127089,56276,129144,55061,127089,129144
42015,050,42,015,42380,999,,,Bradford County,62622,29979,62761,28664,62622,62761
42019,050,42,019,38300,430,,,Butler County,183862,78167,174083,69868,183862,174083
42021,050,42,021,27780,999,,,Cambria County,143679,65650,152598,65796,143679,152598
42023,050,42,023,99999,999,,,Cameron County,5085,4455,5974,4592,5085,5974
42025,050,42,025,10900,999,,,Carbon County,65249,34299,58802,30492,65249,58802
42027,050,42,027,44300,999,,,Centre County,153990,63297,135758,53161,153990,135758
42031,050,42,031,99999,999,,,Clarion County,39988,19962,41765,19426,39988,41765
42033,050,42,033,20180,999,,,Clearfield County,81642,38644,83382,37855,81642,83382
42035,050,42,035,30820,558,,,Clinton County,39238,19080,37914,18166,39238,37914
42037,050,42,037,14100,999,,,Columbia County,67295,29498,64151,27733,67295,64151
42039,050,42,039,32740,999,,,Crawford County,88765,44686,90366,42416,88765,90366
42041,050,42,041,25420,276,,,Cumberland County,235406,99988,213674,86951,235406,213674
42045,050,42,045,37980,428,,,Delaware County,558979,222902,550864,216978,558979,550864
42047,050,42,047,41260,999,,,Elk County,31946,17585,35112,18115,31946,35112
42049,050,42,049,21500,999,,,Erie County,280566,119138,280843,114322,280566,280843
42051,050,42,051,38300,430,,,Fayette County,136606,62773,148644,66490,136606,148644
42053,050,42,053,99999,999,,,Forest County,7716,8760,4946,8701,7716,4946
42055,050,42,055,16540,999,,,Franklin County,149618,63219,129313,53803,149618,129313
42057,050,42,057,99999,999,,,Fulton County,14845,7122,14261,6790,14845,14261
42061,050,42,061,26500,999,,,Huntingdon County,45913,22365,45586,21058,45913,45586
42063,050,42,063,26860,999,,,Indiana County,88880,38236,89605,37250,88880,89605
42065,050,42,065,99999,999,,,Jefferson County,45200,22434,45932,22104,45200,45932
42067,050,42,067,99999,999,,,Juniata County,24636,10978,22821,10031,24636,22821
42071,050,42,071,29540,999,,,Lancaster County,519445,202952,470658,179990,519445,470658
42075,050,42,075,30140,276,,,Lebanon County,133568,55592,120327,49320,133568,120327
42077,050,42,077,10900,999,,,Lehigh County,349497,142613,312090,128910,349497,312090
42079,050,42,079,42540,999,,,Luzerne County,320918,148748,319250,144686,320918,319250
42081,050,42,081,48700,558,,,Lycoming County,116111,52500,120044,52464,116111,120044
42083,050,42,083,14620,999,,,McKean County,43450,21225,45936,21644,43450,45936
42085,050,42,085,49660,566,,,Mercer County,116638,51733,120293,49859,116638,120293
42087,050,42,087,30380,999,,,Mifflin County,46682,21537,46486,20745,46682,46486
42089,050,42,089,20700,999,,,Monroe County,169842,80359,138687,67581,169842,138687
42093,050,42,093,14100,999,,,Montour County,18267,7965,18236,7627,18267,18236
42097,050,42,097,44980,526,,,Northumberland County,94528,45125,94556,43164,94528,94556
42101,050,42,101,37980,428,,,Philadelphia County,1526006,670171,1517550,661958,1526006,1517550
42103,050,42,103,35620,408,,,Pike County,57369,38350,46302,34681,57369,46302
42107,050,42,107,39060,999,,,Schuylkill County,148289,69323,150336,67806,148289,150336
42109,050,42,109,42780,526,,,Snyder County,39702,16027,37546,14890,39702,37546
42111,050,42,111,43740,999,,,Somerset County,77742,38113,80023,37163,77742,80023
42117,050,42,117,99999,999,,,Tioga County,41981,21364,41373,19893,41981,41373
42119,050,42,119,30260,526,,,Union County,44947,16997,41624,14684,44947,41624
42121,050,42,121,36340,999,,,Venango County,54984,27464,57565,26904,54984,57565
42123,050,42,123,47620,999,,,Warren County,41815,23560,43863,23058,41815,43863
42125,050,42,125,38300,430,,,Washington County,207820,92977,202897,87267,207820,202897
42127,050,42,127,99999,999,,,Wayne County,52822,31653,47722,30593,52822,47722
42007,050,42,007,38300,430,,,Beaver County,170539,78211,181412,77765,170539,181412
42029,050,42,029,37980,428,,,Chester County,498886,192462,433501,163773,498886,433501
42043,050,42,043,25420,276,,,Dauphin County,268100,120406,251798,111133,268100,251798
42091,050,42,091,37980,428,,,Montgomery County,799874,325735,750097,297434,799874,750097
42133,050,42,133,49620,564,,,York County,434972,178671,381751,156720,434972,381751
42011,050,42,011,39740,428,,,Berks County,411442,164827,373638,150222,411442,373638
42017,050,42,017,37980,428,,,Bucks County,625249,245956,597635,225498,625249,597635
42059,050,42,059,99999,999,,,Greene County,38686,16460,40672,16678,38686,40672
42069,050,42,069,42540,999,,,Lackawanna County,214437,96832,213295,95362,214437,213295
42073,050,42,073,35260,430,,,Lawrence County,91108,40975,94643,39635,91108,94643
42095,050,42,095,10900,999,,,Northampton County,297735,120363,267066,106710,297735,267066
42099,050,42,099,25420,276,,,Perry County,45969,20424,43602,18941,45969,43602
42105,050,42,105,99999,999,,,Potter County,17457,12932,18080,12159,17457,18080
42113,050,42,113,99999,999,,,Sullivan County,6428,6304,6556,6017,6428,6556
42115,050,42,115,99999,999,,,Susquehanna County,43356,22968,42238,21829,43356,42238
42129,050,42,129,38300,430,,,Westmoreland County,365169,168199,369993,161058,365169,369993
42131,050,42,131,42540,999,,,Wyoming County,28276,13254,28080,12713,28276,28080
