GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P012001,P012001.2000,P012002,P012002.2000,P012003,P012003.2000,P012004,P012004.2000,P012005,P012005.2000,P012006,P012006.2000,P012007,P012007.2000,P012008,P012008.2000,P012009,P012009.2000,P012010,P012010.2000,P012011,P012011.2000,P012012,P012012.2000,P012013,P012013.2000,P012014,P012014.2000,P012015,P012015.2000,P012016,P012016.2000,P012017,P012017.2000,P012018,P012018.2000,P012019,P012019.2000,P012020,P012020.2000,P012021,P012021.2000,P012022,P012022.2000,P012023,P012023.2000,P012024,P012024.2000,P012025,P012025.2000,P012026,P012026.2000,P012027,P012027.2000,P012028,P012028.2000,P012029,P012029.2000,P012030,P012030.2000,P012031,P012031.2000,P012032,P012032.2000,P012033,P012033.2000,P012034,P012034.2000,P012035,P012035.2000,P012036,P012036.2000,P012037,P012037.2000,P012038,P012038.2000,P012039,P012039.2000,P012040,P012040.2000,P012041,P012041.2000,P012042,P012042.2000,P012043,P012043.2000,P012044,P012044.2000,P012045,P012045.2000,P012046,P012046.2000,P012047,P012047.2000,P012048,P012048.2000,P012049,P012049.2000
42001,050,42,001,23900,564,,,Adams County,101407,40820,91292,35831,101407,91292,49865,44787,2847,2712,3123,3261,3257,3552,2135,2097,1618,1487,838,648,765,623,1770,1515,2646,2589,2631,3090,3092,3725,3490,3712,4055,3363,3856,2880,3536,2276,1287,792,1747,1057,1010,708,1372,981,1749,1467,1387,1143,901,650,753,459,51542,46505,2747,2693,2973,3204,3255,3400,2101,1845,1653,1381,784,675,740,672,1691,1440,2523,2517,2640,3230,3038,3786,3747,3778,3973,3387,3944,2992,3672,2344,1301,794,1978,1119,1021,720,1493,1044,1889,1711,1567,1574,1345,1102,1467,1097
42003,050,42,003,38300,430,,,Allegheny County,1223348,589201,1281666,583646,1223348,1281666,585650,607002,32530,36360,32755,40775,34936,42140,23292,24587,17422,17218,8871,8359,8687,7872,26384,21700,42660,38125,36533,41462,34555,46567,37215,51254,42713,47724,47315,39846,43289,29321,14944,10084,19287,14413,9843,8904,13841,14560,18370,25099,15629,20426,13751,12498,10828,7708,637698,674664,31110,34721,31588,38610,33460,40548,21992,23435,17229,16481,9198,8261,8747,7649,27075,21951,42309,38593,36047,43097,34921,49714,39203,54439,45853,50560,50984,43412,46578,34191,16665,12159,21942,17622,11770,11134,17514,18653,24346,34199,22471,31427,22408,23373,24288,20435
42005,050,42,005,38300,430,,,Armstrong County,68941,32520,72392,32387,68941,72392,34013,35204,1805,2017,1854,2385,2148,2475,1438,1573,801,918,357,380,321,365,1042,1065,1808,1935,1860,2182,2026,2726,2326,3125,2763,2808,3093,2435,2699,1830,984,659,1277,908,725,530,933,909,1296,1498,971,1256,857,736,629,489,34928,37188,1800,1896,1787,2241,2014,2421,1343,1566,732,834,305,324,272,335,984,1006,1765,1933,1805,2313,1998,2780,2333,3009,2680,2688,2947,2496,2547,1910,1020,720,1320,1081,727,672,1092,1083,1562,1890,1353,1743,1256,1206,1286,1041
42009,050,42,009,99999,999,,,Bedford County,49762,23954,49984,23529,49762,49984,24705,24631,1346,1551,1543,1649,1671,1862,1009,1013,548,578,259,295,319,251,684,748,1209,1483,1278,1656,1536,1855,1786,2094,1879,1799,2111,1611,1782,1422,664,515,909,725,543,443,807,637,1064,1020,773,768,581,405,404,251,25057,25353,1281,1453,1387,1572,1525,1652,977,1022,532,541,217,244,212,235,706,725,1174,1552,1311,1590,1523,1846,1635,1959,1880,1776,1977,1608,1817,1523,649,562,950,774,560,482,892,735,1235,1212,992,1003,819,698,806,589
42013,050,42,013,11020,999,,,Blair County,127089,56276,129144,55061,127089,129144,61708,61917,3718,3666,3818,4228,3761,4394,2513,2749,2325,2151,1010,976,700,663,2098,2015,3520,3774,3540,3959,3695,4558,3984,5058,4477,4796,4878,4195,4501,3272,1662,1127,2253,1559,1198,996,1670,1451,2188,2426,1762,1979,1358,1228,1079,697,65381,67227,3509,3591,3565,3906,3677,4124,2317,2624,2082,2071,891,916,746,658,2006,2078,3511,3689,3544,4037,3729,4768,4081,5040,4581,4951,4868,4474,4791,3548,1767,1243,2444,1830,1307,1125,1930,1899,2733,3230,2459,3094,2271,2178,2572,2153
42015,050,42,015,42380,999,,,Bradford County,62622,29979,62761,28664,62622,62761,30828,30593,1927,1971,1932,2224,2099,2520,1329,1471,738,780,342,258,276,284,945,850,1594,1656,1542,1976,1706,2357,2056,2432,2432,2316,2522,2100,2312,1789,841,606,1222,848,721,530,972,726,1243,1145,910,830,682,565,485,359,31794,32168,1837,1833,1820,2216,1990,2320,1304,1467,691,695,281,280,267,267,940,867,1647,1731,1595,2016,1767,2421,2070,2485,2513,2289,2481,2193,2316,1820,902,643,1234,915,751,550,1011,825,1396,1333,1062,1235,902,921,1017,846
42019,050,42,019,38300,430,,,Butler County,183862,78167,174083,69868,183862,174083,90491,85009,5099,5775,5751,6204,6323,6347,4201,3884,2825,2482,1238,1169,1179,1036,3179,2793,4638,4715,4787,5922,5532,7105,6609,7558,7441,6790,7663,5540,6780,4210,2257,1451,3149,1933,1561,1157,2224,1643,2874,2725,2097,2172,1699,1405,1385,993,93371,89074,4884,5366,5532,5973,5879,5928,3597,3371,2920,2541,1320,1265,1226,1167,2935,2800,4375,4672,4815,6316,5628,7297,6932,7539,7505,6606,7553,5704,6631,4362,2388,1398,3238,2043,1697,1250,2465,1956,3221,3313,2794,3202,2642,2492,3194,2513
42021,050,42,021,27780,999,,,Cambria County,143679,65650,152598,65796,143679,152598,71003,74011,3643,3883,3952,4576,4119,4844,2818,3177,2208,2269,1110,1039,1041,955,2488,2663,3943,4435,4022,4613,4401,5409,4606,6208,5220,6075,5914,5180,5725,3830,2060,1335,2678,1826,1375,1151,1971,1882,2471,3262,2059,2769,1745,1679,1434,951,72676,78587,3600,3786,3755,4255,3878,4675,2470,2879,2185,2231,1026,1092,982,1061,2365,2394,3478,4052,3643,4335,3985,4924,4254,5957,4932,5844,5846,5059,5570,4014,1962,1377,2729,2259,1525,1477,2164,2396,3177,4502,3010,4194,2930,3169,3210,2655
42023,050,42,023,99999,999,,,Cameron County,5085,4455,5974,4592,5085,5974,2499,2935,117,126,130,205,134,241,105,171,58,69,12,33,19,18,65,65,125,167,105,178,147,198,143,219,207,219,214,223,219,187,82,57,144,68,68,63,95,76,90,136,99,108,65,58,56,50,2586,3039,102,162,108,204,163,207,126,148,40,60,17,25,15,20,56,71,130,146,103,162,130,197,139,221,212,208,216,199,230,153,72,59,114,108,62,50,91,86,113,157,112,185,98,99,137,112
42025,050,42,025,10900,999,,,Carbon County,65249,34299,58802,30492,65249,58802,32173,28633,1756,1504,1883,1793,2042,2085,1258,1286,721,670,329,312,313,276,977,865,1680,1589,1794,1965,1939,2294,2397,2423,2643,2278,2731,1953,2503,1577,893,489,1280,812,696,496,964,803,1221,1226,947,980,684,626,522,331,33076,30169,1731,1521,1816,1729,1888,1932,1166,1179,614,582,290,262,312,270,961,801,1700,1619,1696,1981,2011,2343,2386,2414,2624,2137,2737,1876,2435,1668,880,592,1219,859,772,587,1062,869,1395,1650,1147,1396,1086,1039,1148,863
